Silverster Stallone, Rocky Balboa, | It ain't about how hard you hit. It's about how hard you can get hit and keep moving forward.
Arnold Schwarzenegger, Terminator, | I'll be back.
Bruce Lee, Enter the Dragon, | Don't think. Feel.
Orson Welles, Citizen Kane, | Rosebud.
Clint Eastwood, Dirty Harry, | Go ahead, make my day.
Marlon Brando, The Godfather, | I'm gonna make him an offer he can't refuse.
Al Pacino, Scarface, | Say hello to my little friend!
Heath Ledger, The Dark Knight, | Why so serious?
Tom Hanks, Forrest Gump, | Life is like a box of chocolates. You never know what you're gonna get.
Morgan Freeman, The Shawshank Redemption, | Get busy living, or get busy dying.
Vivien Leigh, Gone with the Wind, | After all, tomorrow is another day!
Jack Nicholson, A Few Good Men, | You can't handle the truth!
Robert De Niro, Taxi Driver, | You talkin' to me?
Humphrey Bogart, Casablanca, | Here's looking at you, kid.
Meryl Streep, The Devil Wears Prada, | That's all.
Robin Williams, Dead Poets Society, | Carpe diem. Seize the day, boys. Make your lives extraordinary.
Leonardo DiCaprio, Titanic, | I'm the king of the world!
Tom Cruise, Jerry Maguire, | Show me the money!
Anthony Hopkins, The Silence of the Lambs, | I do wish we could chat longer, but I'm having an old friend for dinner.
Johnny Depp, Pirates of the Caribbean, | This is the day you will always remember as the day you almost caught Captain Jack Sparrow.
Harrison Ford, Star Wars, | May the Force be with you.
Keanu Reeves, The Matrix, | There is no spoon.
Russell Crowe, Gladiator, | Are you not entertained?
Macaulay Culkin, Home Alone, | Keep the change, ya filthy animal.
Sigourney Weaver, Aliens, | Get away from her, you b****!
Julie Andrews, The Sound of Music, | The hills are alive with the sound of music.
Gene Wilder, Willy Wonka & the Chocolate Factory, | We are the music makers, and we are the dreamers of dreams.
Charlton Heston, Planet of the Apes, | Take your stinking paws off me, you damned dirty ape!
Michael J. Fox, Back to the Future, | Roads? Where we're going, we don't need roads.
Audrey Hepburn, Breakfast at Tiffany's, | Nothing very bad could happen to you there.
Denzel Washington, Remember the Titans, | You make sure they remember, forever, the night they played the Titans.
Will Smith, The Pursuit of Happyness, | Don't ever let somebody tell you you can't do something. Not even me. All right? You got a dream, you gotta protect it.
Matthew McConaughey, Interstellar, | We must confront the reality of interstellar travel.
Sandra Bullock, The Blind Side, | Courage is a hard thing to figure. You can have courage based on a dumb idea or a mistake, but you're not supposed to question adults, or your coach, or your teacher, because they make the rules.
Chris Evans, Captain America: The First Avenger, | I can do this all day.
Sylvester Stallone, Rocky, | Every champion was once a contender that refused to give up.
Hugh Jackman, The Greatest Showman, | Comfort, the enemy of progress.
Emma Watson, Harry Potter and the Prisoner of Azkaban, | Happiness can be found even in the darkest of times, if one only remembers to turn on the light.
Robert Downey Jr., Iron Man, | Sometimes you gotta run before you can walk.
Chris Hemsworth, Thor, | The only way to achieve the impossible is to believe it is possible.
Gal Gadot, Wonder Woman, | It's not about what you deserve; it's about what you believe. And I believe in love.
Chadwick Boseman, Black Panther, | In times of crisis, the wise build bridges while the foolish build barriers.
Mark Ruffalo, Avengers: Endgame, | I see this as an absolute win.
Scarlett Johansson, Lucy, | Life was given to us a billion years ago. What have we done with it?
Benedict Cumberbatch, Doctor Strange, | We never lose our demons, we only learn to live above them.
Chris Pratt, Guardians of the Galaxy, | I look around at us and you know what I see? Losers. But life’s giving us a chance.
Vin Diesel, Fast & Furious, | I don't have friends, I got family.
Hugh Jackman, Logan, | Nature made me a freak. Man made me a weapon. And God made it last too long.
Tom Holland, Spider Man: Homecoming, | When you can do the things that I can, but you don't, and then the bad things happen, they happen because of you.
Dwayne Johnson, Jumanji: Welcome to the Jungle, | I'm an acquired taste. If you don't like me, acquire some taste.
