date,amount,category,description
28-10-2024,8500.0,Expense,Payment of my school fee
26-09-2024,10.0,Expense,Tacos for lunch for my project
15-10-2024,50.0,Expense,Textbooks for class
02-10-2024,1200.0,Income,Freelance project payment
12-09-2024,5.0,Expense,Coffee with classmates
20-09-2024,200.0,Expense,New headphones for online classes
05-08-2024,30.0,Expense,Notebook and stationery
01-08-2024,500.0,Income,Part-time tutoring
10-10-2024,100.0,Expense,Monthly streaming subscription
22-09-2024,45.0,Expense,Groceries for the week
11-08-2024,75.0,Expense,Movie night with friends
30-08-2024,600.0,Income,Allowance from parents
05-09-2024,150.0,Expense,Workshop registration fee
14-08-2024,35.0,Expense,Gift for friend’s birthday
17-09-2024,250.0,Income,Online survey reward
23-08-2024,20.0,Expense,Lunch at university
07-09-2024,800.0,Income,Website design project
28-07-2024,65.0,Expense,Concert ticket
09-09-2024,15.0,Expense,Cab fare to campus
24-09-2024,300.0,Expense,Monthly gym membership
02-08-2024,800.0,Income,Testing pc
